vType_accel;vType_color;vType_decel;vType_hphm;vType_hpzl;vType_id;vType_lcCooperative;vType_lcKeepRight;vType_lcSpeedGain;vType_lcStrategic;vType_length;vType_maxSpeed;vType_minGap;vType_sigma;vType_tau;vType_width;vehicle_depart;vehicle_id;vehicle_type;route_edges
3;1,0,0;4;8fc9aaf3355931c3a27af3e7888ec6e8;02;vtype244;1;1;1;1;4.3;10.378448796383724;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24503.0;244;vtype244;95608492 95608504 95608508 95608507
3;1,0,0;4;0c3479a1aa868c5230f86b3cc3514b83;02;vtype245;1;1;1;1;4.3;8.59543847227651;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24508.690000000002;245;vtype245;89156519 64129 63402
3;1,0,0;4;c5005d4fb490c1b6daa4dc62069a3a1d;02;vtype246;1;1;1;1;4.3;8.33286288714612;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24512.694000000003;246;vtype246;89156519 64129 63402
3;1,0,0;4;5bcaad2dc9878c97b0d88aacaaab39f1;02;vtype250;1;1;1;1;4.3;11.156021631655335;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24536.585000000003;250;vtype250;64166 64170 64153 70349217 70349218 60141
3;1,0,0;4;0448603039f9f73b234810655c4c3bd8;01;vtype252;1;1;1;1;4.3;11.111066430641454;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24539.0;252;vtype252;64166 64170 64153 70349217 70349218 60141
3;1,0,0;4;64eba50603ccd115feea6e677974941c;02;vtype253;1;1;1;1;4.3;10.33195967054832;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24545.0;253;vtype253;60267 69749704 63393
3;1,0,0;4;e5f13f36113f9bca6deb4f20e6775489;01;vtype255;1;1;1;1;4.3;7.779548541544612;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24548.0;255;vtype255;63397 64135
3;1,0,0;4;59071a460053624981c676e1299b60d1;02;vtype256;1;1;1;1;4.3;9.156344189699658;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24553.0;256;vtype256;60267 69749704 63393
3;1,0,0;4;65f3fc01ad75f40415dc229c7c8ce2db;02;vtype257;1;1;1;1;4.3;5.765870058075198;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24553.0;257;vtype257;63397 64135
3;1,0,0;4;c95e69b8c6a672bf523b655e1f18280a;02;vtype258;1;1;1;1;4.3;7.057486160921276;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24562.823;258;vtype258;89156519 64129 63402
3;1,0,0;4;ad2fff9c4812119eba019bdb7052a68c;02;vtype262;1;1;1;1;4.3;8.66829817368684;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24573.0;262;vtype262;13467402 19775667 63301
3;1,0,0;4;0290eb59af736130737abac6d4fb77b2;02;vtype263;1;1;1;1;4.3;12.928564652655684;1;0.0;1.0;1.7;;;;
;;;;;;;;;;;;;;;;24574.0;263;vtype263;60267 69749704 63393
3;1,0,0;4;6ed6eb7c48580c60e1e39ebed21f412e;02;vtype266;1;1;1;1;4.3;6.98110272119264;1;0.0;1.0;1.7;;;;
